Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
5,11,necessity,-2535200.0504547204,,,,,,,,,
5,12,necessity,-1587850.5756606157,,,,,,,,,
5,13,necessity,-1651115.1388065564,,,,,,,,,
5,14,necessity,-2900132.329001141,,,,,,,,,
5,15,necessity,-2490085.9601390543,,,,,,,,,
5,16,necessity,-1647974.5157347606,,,,,,,,,
5,17,necessity,-1947231.2689229595,,,,,,,,,
5,18,necessity,-2048408.697851316,,,,,,,,,
5,19,necessity,-1829964.1047756847,,,,,,,,,
5,20,necessity,-3080091.6759013557,,,,,,,,,
5,21,necessity,-2545819.1718588374,,,,,,,,,
5,22,necessity,-2518242.7207720224,,,,,,,,,
5,23,necessity,-1372078.3449320227,,,,,,,,,
5,24,necessity,-1175530.1865281698,,,,,,,,,
5,25,necessity,-1505225.8795686262,,,,,,,,,
5,26,necessity,-1662602.5079018916,,,,,,,,,
5,27,necessity,-1742049.232226309,,,,,,,,,
5,28,necessity,-2471282.148810977,,,,,,,,,
5,29,necessity,-2904601.4316861858,,,,,,,,,
5,30,necessity,-1603428.3719318332,,,,,,,,,
5,31,necessity,-2568771.2327886634,,,,,,,,,
5,32,luxury,-851919.4744617977,,,,,,,,,
5,33,luxury,-891679.9541593319,,,,,,,,,
5,34,luxury,-927607.8817925256,,,,,,,,,
5,35,luxury,-1534545.9553649428,,,,,,,,,
5,36,luxury,-2407507.2406302956,,,,,,,,,
5,37,luxury,-1448826.348885984,,,,,,,,,
5,38,luxury,-2404973.1340044285,,,,,,,,,
5,39,luxury,-1370921.5568438442,,,,,,,,,
5,40,luxury,-1868148.8139021436,,,,,,,,,
5,41,luxury,-1378378.9417461217,,,,,,,,,
5,42,luxury,-2142438.1299845157,,,,,,,,,
5,43,luxury,-1509102.8508328032,,,,,,,,,
5,44,luxury,-655448.8107511632,,,,,,,,,
5,45,luxury,-2731521.2572935433,,,,,,,,,
5,46,luxury,-611853.4681966422,,,,,,,,,
5,47,luxury,-1630173.6061861592,,,,,,,,,
5,48,luxury,-892780.7924915468,,,,,,,,,
5,49,luxury,-1653420.2902414391,,,,,,,,,
5,50,luxury,-1735107.6942824223,,,,,,,,,
5,51,luxury,-803207.7044223988,,,,,,,,,
6,2,necessity,-2672078.8091120287,,,,,,,,,
6,3,necessity,-1628235.2042909632,,,,,,,,,
6,4,necessity,-2052076.928370357,,,,,,,,,
6,5,necessity,-3251684.4266378633,,,,,,,,,
6,6,necessity,-2513530.3433803036,,,,,,,,,
6,7,necessity,-2531202.043823141,,,,,,,,,
6,8,necessity,-2564765.6649194574,,,,,,,,,
6,9,necessity,-1605548.4690307248,,,,,,,,,
6,10,necessity,-2723607.7201912757,,,,,,,,,
6,11,necessity,-2535200.0504547204,,,,,,,,,
6,12,necessity,-1587850.5756606157,,,,,,,,,
6,13,necessity,-1651115.1388065564,,,,,,,,,
6,14,necessity,-2900132.329001141,,,,,,,,,
6,15,necessity,-2490085.9601390543,,,,,,,,,
6,16,necessity,-1647974.5157347606,,,,,,,,,
6,17,necessity,-1947231.2689229595,,,,,,,,,
6,18,necessity,-2048408.697851316,,,,,,,,,
6,19,necessity,-1829964.1047756847,,,,,,,,,
6,20,necessity,-3080091.6759013557,,,,,,,,,
6,21,necessity,-2545819.1718588374,,,,,,,,,
6,22,necessity,-2518242.7207720224,,,,,,,,,
6,23,necessity,-1372078.3449320227,,,,,,,,,
6,24,necessity,-1175530.1865281698,,,,,,,,,
6,25,necessity,-1505225.8795686262,,,,,,,,,
6,26,necessity,-1662602.5079018916,,,,,,,,,
6,27,necessity,-1742049.232226309,,,,,,,,,
6,28,necessity,-2471282.148810977,,,,,,,,,
6,29,necessity,-2904601.4316861858,,,,,,,,,
6,30,necessity,-1603428.3719318332,,,,,,,,,
6,31,necessity,-2568771.2327886634,,,,,,,,,
6,32,luxury,-851919.4744617977,,,,,,,,,
6,33,luxury,-891679.9541593319,,,,,,,,,
6,34,luxury,-927607.8817925256,,,,,,,,,
6,35,luxury,-1534545.9553649428,,,,,,,,,
6,36,luxury,-2407507.2406302956,,,,,,,,,
6,37,luxury,-1448826.348885984,,,,,,,,,
6,38,luxury,-2404973.1340044285,,,,,,,,,
6,39,luxury,-1370921.5568438442,,,,,,,,,
6,40,luxury,-1868148.8139021436,,,,,,,,,
6,41,luxury,-1378378.9417461217,,,,,,,,,
6,42,luxury,-2142438.1299845157,,,,,,,,,
6,43,luxury,-1509102.8508328032,,,,,,,,,
6,44,luxury,-655448.8107511632,,,,,,,,,
6,45,luxury,-2731521.2572935433,,,,,,,,,
6,46,luxury,-611853.4681966422,,,,,,,,,
6,47,luxury,-1630173.6061861592,,,,,,,,,
6,48,luxury,-892780.7924915468,,,,,,,,,
6,49,luxury,-1653420.2902414391,,,,,,,,,
6,50,luxury,-1735107.6942824223,,,,,,,,,
6,51,luxury,-803207.7044223988,,,,,,,,,
