Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,UnmetDemand,Capital,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,70,luxury,0.0,193.60000000000002,422.21129123717907,0.0,0.7630713510603513,30.0,0.0,,,1936.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,71,luxury,0.0,162.0,937.6749740361943,0.0,0.7186536650946147,63.0,0.0,,,1620.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,72,luxury,0.0,113.0,453.11474225453014,0.0,0.6191684247490888,20.0,0.0,,,1130.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,73,luxury,0.0,141.5,554.0562979885159,0.0,0.4684994452485585,10.0,0.0,,,1415.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,74,luxury,0.0,86.4,350.60216931933064,0.0,0.5414326731215452,21.0,0.0,,,864.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,75,luxury,0.0,144.20000000000002,432.832560303612,0.0,0.7112600027792992,14.0,0.0,,,1442.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,76,luxury,0.0,75.2,313.72396324983987,0.0,0.5089601419117752,25.0,0.0,,,752.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,77,luxury,0.0,119.30000000000001,589.5839104083777,0.0,0.7811139396625473,18.0,0.0,,,1193.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,78,luxury,0.0,73.2,597.4393238631098,0.0,0.6493814327888751,18.0,0.0,,,732.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,79,luxury,0.0,45.5,397.1543180420565,0.0,0.8807755627343163,21.0,0.0,,,455.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,80,luxury,0.0,106.7,553.6043461792272,0.0,0.888189757907794,40.0,0.0,,,1067.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,81,luxury,0.0,119.7,409.64481748503425,0.0,0.6616199163458871,22.0,0.0,,,1197.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,82,luxury,0.0,69.9,849.6933483150348,0.0,0.613209425287839,8.0,0.0,,,699.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,83,luxury,0.0,30.0,655.1738112621337,0.0,0.7452397233352168,25.0,0.0,,,300.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,84,luxury,0.0,95.4,934.7379390214487,0.0,0.8571749964242752,6.0,0.0,,,954.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,85,luxury,0.0,99.60000000000001,697.1120680129047,0.0,0.8855295039106738,13.0,0.0,,,996.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,86,luxury,0.0,38.0,1014.330975700679,0.0,0.6011773275472091,14.0,0.0,,,380.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,0,
2,2,necessity,-5311964.440851125,15288.9,5.044048119753763,0.0,0.9000148520605791,78.0,113659.0,,,15289.0,0.0,5311964.440851125,1.5,13760.0,0.0,-5311964.440851125,,,,,,,,,,,,0,
2,3,necessity,-2994105.9831395913,14198.9,7.044259206053532,0.0,0.7792413550722425,45.0,16396.0,,,16149.0,0.0,2994105.9831395913,1.5,12584.0,0.0,-2994105.9831395913,,,,,,,,,,,,0,
2,4,necessity,-7199870.029663314,18594.8,5.226749637462732,0.0,0.9377841469886539,117.0,49718.0,,,17918.0,0.0,7199870.029663314,1.5,16803.0,0.0,-7199870.029663314,,,,,,,,,,,,0,
2,5,necessity,-6584298.092174874,15755.5,5.544436412370369,0.0,0.9090036995872117,92.0,20830.0,,,15615.0,0.0,6584298.092174874,1.5,14194.0,0.0,-6584298.092174874,,,,,,,,,,,,0,
2,6,necessity,-7600740.787256466,16251.8,6.123510634837065,0.0,0.8499488813140113,114.0,66015.0,,,17108.0,0.0,7600740.787256466,1.5,14541.0,0.0,-7600740.787256466,,,,,,,,,,,,0,
2,7,necessity,-6820551.341637832,12686.7,6.209546616262585,0.0,0.8490794536762751,108.0,0.0,,,13367.0,0.0,6820551.341637832,1.5,11350.0,0.0,-6820551.341637832,,,,,,,,,,,,0,
2,8,necessity,-4435024.022583339,16865.0,4.747959205649239,0.0,0.9673937273295392,70.0,144499.0,,,15800.0,0.0,4435024.022583339,1.5,15285.0,0.0,-4435024.022583339,,,,,,,,,,,,0,
2,9,necessity,-7465285.113823047,13473.5,5.245991432954819,0.0,0.7253187139792663,115.0,0.0,,,16325.0,0.0,7465285.113823047,1.5,11841.0,0.0,-7465285.113823047,,,,,,,,,,,,0,
2,10,necessity,-6046094.8541747555,12189.2,4.559933714837603,0.0,0.8688176964354559,82.0,189224.0,,,12582.0,0.0,6046094.8541747555,1.5,10931.0,0.0,-6046094.8541747555,,,,,,,,,,,,0,
2,11,necessity,-6951352.150895521,13778.6,8.569147202461348,0.0,0.9904386827963718,108.0,6739.0,,,12636.0,0.0,6951352.150895521,1.5,12515.0,0.0,-6951352.150895521,,,,,,,,,,,,0,
2,12,necessity,-4445201.55630546,14749.5,8.737680458581863,0.0,0.8391464134884856,61.0,13218.0,,,15705.0,0.0,4445201.55630546,1.5,13179.0,0.0,-4445201.55630546,,,,,,,,,,,,0,
2,13,necessity,-3569944.222775322,11941.6,7.817464182428692,0.0,0.8069813533316914,56.0,0.0,,,13166.0,0.0,3569944.222775322,1.5,10625.0,0.0,-3569944.222775322,,,,,,,,,,,,0,
2,14,necessity,-6498316.8198766885,11282.8,6.000609786485313,0.0,0.7285125271316942,102.0,24060.0,,,13618.0,0.0,6498316.8198766885,1.5,9921.0,0.0,-6498316.8198766885,,,,,,,,,,,,0,
2,15,necessity,-7493695.3815010125,15211.3,4.8486372004177465,0.0,0.919339978775678,104.0,98141.0,,,14923.0,0.0,7493695.3815010125,1.5,13719.0,0.0,-7493695.3815010125,,,,,,,,,,,,0,
2,16,necessity,-6788905.030531475,13204.7,5.158279496274378,0.0,0.9074590141715123,109.0,109601.0,,,13107.0,0.0,6788905.030531475,1.5,11894.0,0.0,-6788905.030531475,,,,,,,,,,,,0,
2,17,necessity,-3644169.4353051675,17888.6,7.394686849920577,0.0,0.918391134005225,50.0,0.0,,,17566.0,0.0,3644169.4353051675,1.5,16132.0,0.0,-3644169.4353051675,,,,,,,,,,,,0,
2,18,necessity,-8366546.541474006,12462.1,8.605937436733486,0.0,0.7008847269980161,114.0,6710.0,,,15561.0,0.0,8366546.541474006,1.5,10906.0,0.0,-8366546.541474006,,,,,,,,,,,,0,
2,19,necessity,-4007496.340526543,16202.6,6.064148272986666,0.0,0.9768911224304658,63.0,38092.0,,,15046.0,0.0,4007496.340526543,1.5,14698.0,0.0,-4007496.340526543,,,,,,,,,,,,0,
2,20,necessity,-4613015.523371605,12744.8,4.526658697041946,0.0,0.9156742481376471,74.0,187186.0,,,12548.0,0.0,4613015.523371605,1.5,11490.0,0.0,-4613015.523371605,,,,,,,,,,,,0,
2,21,necessity,-2195125.24794513,14034.7,4.994326745290002,0.0,0.9284292350211927,32.0,104409.0,,,13647.0,0.0,2195125.24794513,1.5,12670.0,0.0,-2195125.24794513,,,,,,,,,,,,0,
2,22,necessity,-6794489.691495403,12476.5,7.5871386869170205,0.0,0.7026278428171288,112.0,0.0,,,15545.0,0.0,6794489.691495403,1.5,10922.0,0.0,-6794489.691495403,,,,,,,,,,,,0,
2,23,necessity,-4004400.7463535885,10486.2,6.851692311803845,0.0,0.7140422724608644,57.0,16857.0,,,12882.0,0.0,4004400.7463535885,1.5,9198.0,0.0,-4004400.7463535885,,,,,,,,,,,,0,
2,24,necessity,-7751805.311609965,13236.2,8.510046833140997,0.0,0.7747400258201453,116.0,44109.0,,,15132.0,0.0,7751805.311609965,1.5,11723.0,0.0,-7751805.311609965,,,,,,,,,,,,0,
2,25,necessity,-3748829.1205411716,12339.4,7.72569022386175,0.0,0.7386234497664068,53.0,0.0,,,14714.0,0.0,3748829.1205411716,1.5,10868.0,0.0,-3748829.1205411716,,,,,,,,,,,,0,
2,26,necessity,-2887076.8085447387,16557.2,8.605481990855438,0.0,0.8925233373606083,39.0,0.0,,,16682.0,0.0,2887076.8085447387,1.5,14889.0,0.0,-2887076.8085447387,,,,,,,,,,,,0,
2,27,necessity,-7574852.509925088,14285.2,6.136374457770821,0.0,0.857974656537416,112.0,23527.0,,,14912.0,0.0,7574852.509925088,1.5,12794.0,0.0,-7574852.509925088,,,,,,,,,,,,0,
2,28,necessity,-2351872.909039819,13888.4,8.574400112657766,0.0,0.8477523920523531,36.0,6735.0,,,14654.0,0.0,2351872.909039819,1.5,12423.0,0.0,-2351872.909039819,,,,,,,,,,,,0,
2,29,necessity,-1954780.8704984412,17288.0,8.419026670456747,0.0,0.9764568268198315,31.0,0.0,,,16060.0,0.0,1954780.8704984412,1.5,15682.0,0.0,-1954780.8704984412,,,,,,,,,,,,0,
2,30,necessity,-4598290.273464058,15566.4,7.343081491112457,0.0,0.8547488500895929,64.0,35390.0,,,16304.0,0.0,4598290.273464058,1.5,13936.0,0.0,-4598290.273464058,,,,,,,,,,,,0,
2,31,necessity,-1981808.572277549,13017.9,6.768561809079985,0.0,0.858691192659336,33.0,21330.0,,,13579.0,0.0,1981808.572277549,1.5,11660.0,0.0,-1981808.572277549,,,,,,,,,,,,0,
2,32,necessity,-1278279.2739723446,17976.5,6.587082062896952,0.0,0.7870637844355577,22.0,110553.0,,,20265.0,0.0,1278279.2739723446,2.5,15950.0,0.0,-1278279.2739723446,,,,,,,,,,,,0,
2,33,necessity,-1694312.5109259903,10831.8,8.789439665303764,0.0,0.6160155071734414,31.0,0.0,,,15128.0,0.0,1694312.5109259903,2.5,9319.0,0.0,-1694312.5109259903,,,,,,,,,,,,0,
2,34,necessity,-1544987.3048137608,16998.7,11.09113880060018,0.0,0.7233122508012723,28.0,13017.0,,,20647.0,0.0,1544987.3048137608,2.5,14934.0,0.0,-1544987.3048137608,,,,,,,,,,,,0,
2,35,necessity,-1672886.5540374026,10403.8,9.072085428289391,0.0,0.6073239915564997,29.0,12731.0,,,14708.0,0.0,1672886.5540374026,2.5,8933.0,0.0,-1672886.5540374026,,,,,,,,,,,,0,
2,36,necessity,-1404943.3227282907,16897.7,5.874498324490924,0.0,0.8895259596779345,24.0,125782.0,,,17077.0,0.0,1404943.3227282907,2.5,15190.0,0.0,-1404943.3227282907,,,,,,,,,,,,0,
2,37,necessity,-2098012.4511728357,15001.2,9.842992748954561,0.0,0.7445690618637442,37.0,0.0,,,17762.0,0.0,2098012.4511728357,2.5,13225.0,0.0,-2098012.4511728357,,,,,,,,,,,,0,
2,38,necessity,-1595863.787172598,8354.4,7.270573153170929,0.0,0.6683205060738338,29.0,19857.0,,,10874.0,0.0,1595863.787172598,2.5,7267.0,0.0,-1595863.787172598,,,,,,,,,,,,0,
2,39,necessity,-2451412.6136890627,10182.2,9.046736018524262,0.0,0.8024765421322854,39.0,6383.0,,,11282.0,0.0,2451412.6136890627,2.5,9054.0,0.0,-2451412.6136890627,,,,,,,,,,,,0,
